song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
0 confianza_rvfv,2025-06-02,2025-06-23,23,20,2025-06-07,False,album,5,22
"1 de enero, puntacana_rels b",2025-04-28,2025-04-28,45,1,2025-04-28,False,album,0,1
1000cosas_lola indigo & manuel turizo,2025-03-10,2025-11-13,3,245,2025-03-10,False,single,0,249
100xciento_foreign teck & eladio carrion & de la ghetto,2025-04-30,2025-05-15,13,11,2025-05-11,True,single,11,16
14 febreros_quevedo,2025-11-24,2025-11-27,9,4,2025-11-24,True,album,0,4
2am_sebastian yatra & bad gyal,2025-11-24,2025-11-27,31,4,2025-11-27,False,single,3,4
2xll_jc reyes & yovngchimi & slayter,2025-07-12,2025-08-09,35,26,2025-07-23,False,single,11,29
3 caídas_saiko,2025-04-28,2025-05-05,13,8,2025-04-28,False,album,0,8
4 prez_cruz cafuné,2024-05-28,2024-05-29,35,2,2024-05-28,True,album,0,2
4to 23_aitana,2025-07-07,2025-07-16,17,9,2025-07-07,False,single,0,10
50 palos_feid,2024-12-02,2024-12-02,38,1,2024-12-02,True,album,0,1
57_karol g & feid & dfzm,2025-11-10,2025-11-27,8,18,2025-11-10,True,single,0,18
58_jhayco,2025-09-08,2025-09-18,35,8,2025-09-08,False,album,0,11
69_nicky jam & feid,2024-05-21,2024-06-30,22,41,2024-05-31,True,single,10,41
a 300_jc reyes & pedro calderon,2024-08-06,2025-01-05,15,148,2025-01-05,False,single,152,153
a 300_jc reyes & pedro calderon & blacknife,2025-01-06,2025-04-24,11,106,2025-01-14,False,single,8,109
a new star (2 0 2 4)_rels b,2025-05-09,2025-05-30,32,16,2025-05-16,True,album,7,22
acho pr_bad bunny,2024-10-14,2024-10-20,15,7,2024-10-14,True,album,0,7
acróstico_shakira,2024-05-18,2024-07-09,1,53,2024-05-19,False,single,1,53
adivino_myke towers,2025-08-24,2025-11-16,10,85,2025-08-24,True,album,0,85
adivino_myke towers & bad bunny,2025-04-28,2025-08-23,1,116,2025-04-28,True,single,0,118
akureyri_aitana & sebastian yatra,2025-04-28,2025-06-01,10,34,2025-04-28,False,single,0,35
alakran_feid,2024-12-02,2024-12-05,24,3,2024-12-02,False,album,0,4
alegría_tiago pzk,2025-09-28,2025-10-05,8,8,2025-10-02,False,album,4,8
all i want for christmas is you_mariah carey,2024-12-03,2025-01-02,1,20,2024-12-25,False,album,22,31
alucin_eugenio esquivel & grupo marca registrada & sebastian esquivel,2025-01-13,2025-04-05,21,35,2025-03-22,True,single,68,83
amanece_anuel aa & haze,2024-05-25,2025-07-06,47,15,2024-06-23,False,single,29,408
amaneció_quevedo,2025-11-24,2025-11-27,13,4,2025-11-24,False,album,0,4
amar de nuevo_rauw alejandro,2025-11-17,2025-11-17,45,1,2025-11-17,True,album,0,1
amargura_karol g,2024-05-26,2025-10-31,16,153,2025-07-26,True,album,426,524
andando_morad,2024-05-18,2024-06-03,34,17,2024-05-19,True,album,1,17
antes_rvfv & edu garcía,2024-05-18,2024-07-22,29,58,2024-05-18,False,single,0,66
antidepresivos_saiko,2024-08-06,2024-12-19,13,136,2024-08-06,False,single,0,136
apaga el cel_floyymenor,2025-08-10,2025-09-04,22,14,2025-08-10,True,album,0,26
apaga el cel_floyymenor & lewis somes,2025-05-26,2025-08-09,7,75,2025-06-12,True,single,17,76
apt._rosé & bruno mars,2025-10-23,2025-11-01,42,7,2025-10-30,False,single,7,10
aqyne_aitana,2024-09-27,2024-09-29,40,3,2024-09-28,False,album,1,3
arena y sal_omar montes & saiko & tunvao,2024-05-21,2025-01-20,3,242,2024-08-06,False,single,77,245
arranca (feat. omega)_becky g & omega,2024-05-18,2024-07-25,38,69,2024-05-18,False,single,0,69
asi es la vida_enrique iglesias & maria becerra,2024-11-22,2025-03-23,38,66,2025-01-31,False,single,70,122
attitude (feat. charlie wilson & cash cobain)_don toliver,2025-06-21,2025-06-21,46,1,2025-06-21,True,album,0,1
aunque llegue otro (feat. jay wheeler)_myke towers,2025-08-24,2025-08-24,23,1,2025-08-24,True,album,0,1
ayer y hoy_mora,2024-08-30,2024-08-31,23,2,2024-08-30,True,album,0,2
ayer_dellafuente,2025-06-16,2025-06-18,37,2,2025-06-16,False,album,0,3
baby hello_rauw alejandro,2024-07-09,2025-04-19,3,281,2024-07-09,True,album,0,285
baby hello_rauw alejandro & bizarrap,2024-06-25,2024-07-08,2,14,2024-06-28,True,single,3,14
baby nueva_bad bunny,2024-10-14,2024-10-28,12,15,2024-10-14,True,album,0,15
bad boy_chris jedi & gaby music & dei v,2025-02-11,2025-03-10,16,27,2025-02-11,True,single,0,28
badgyal_saiko,2025-04-28,2025-11-23,1,208,2025-05-01,True,album,3,210
bailando bachata_chayanne,2025-05-13,2025-06-02,45,9,2025-06-01,False,album,19,21
baja pa' acá_rauw alejandro,2025-11-17,2025-11-20,22,4,2025-11-17,True,album,0,4
bandidona_saiko,2024-10-29,2024-11-10,20,13,2024-10-29,False,single,0,13
bandit_don toliver,2025-06-21,2025-06-21,27,1,2025-06-21,True,album,0,1
barro_duki,2025-10-20,2025-10-20,40,1,2025-10-20,False,single,0,1
baticano_bad bunny,2024-10-14,2024-10-18,23,5,2024-10-14,True,album,0,5
bby boo - remix_izaak & jhayco & anuel aa,2025-03-30,2025-07-23,5,115,2025-04-18,True,single,19,116
beautiful things_benson boone,2025-03-13,2025-06-23,17,91,2025-04-04,False,single,22,103
bendecido_eladio carrion,2025-01-21,2025-01-26,7,6,2025-01-21,True,album,0,6
"besame (feat. tiago pzk, khea & neo pistea) - remix_bhavi & seven kayne & milo j",2025-04-24,2025-05-06,28,11,2025-04-26,True,single,2,13
besitos bb 2.0_el perla & omar montes & saiko,2025-10-16,2025-10-31,9,11,2025-10-16,True,single,0,16
beso prohibido_beny jr,2025-09-07,2025-09-07,49,1,2025-09-07,False,album,0,1
beso_rosalía & rauw alejandro,2024-05-18,2024-10-06,4,142,2024-05-18,False,single,0,142
besos (with kidd keo & neelo)_swaggglock & kidd keo & neelo,2024-09-14,2024-10-13,22,30,2024-09-19,True,single,5,30
birds of a feather_billie eilish,2025-06-12,2025-06-13,49,2,2025-06-12,False,album,0,2
boreal_saiko,2025-04-28,2025-05-01,22,4,2025-04-28,False,album,0,4
brindis_duki,2025-11-03,2025-11-07,30,3,2025-11-03,True,album,0,5
bubalu_feid,2024-09-30,2024-10-06,26,7,2024-09-30,False,album,0,7
bubalu_feid & rema,2024-09-24,2024-09-29,21,6,2024-09-25,False,single,1,6
buenas noches_quevedo,2025-11-24,2025-11-27,18,4,2025-11-24,False,album,0,4
buenas_quevedo & saiko,2024-09-24,2025-03-12,1,169,2024-09-24,False,single,0,170
buscando money_twenty six & tayson kryss,2025-02-02,2025-04-17,4,72,2025-02-15,False,single,13,75
buscarte lejos_duki,2025-11-03,2025-11-09,28,7,2025-11-06,False,album,3,7
caché_myke towers,2025-08-24,2025-08-24,47,1,2025-08-24,True,album,0,1
cafe malibú_sech & mora & saiko,2024-07-23,2024-09-19,9,59,2024-07-25,True,single,2,59
