date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
2024-05-18,1,supernova,saiko,84,190909,single,1,False,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
2024-05-18,2,el tonto,lola indigo,83,187986,album,11,False,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
2024-05-18,3,acróstico,shakira,81,170785,single,1,False,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
2024-05-18,4,beso,rosalía & rauw alejandro,96,194543,single,3,False,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
2024-05-18,5,el merengue,marshmello & manuel turizo,91,189668,single,1,False,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
2024-05-18,6,mami chula,jhayco & quevedo,85,220600,single,1,False,https://i.scdn.co/image/ab67616d0000b273cb950d94cb42ca9d03754578
2024-05-18,7,classy 101,feid & young miko,95,195986,single,1,True,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
2024-05-18,8,clavaito,chanel & abraham mateo,78,162740,single,1,False,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
2024-05-18,9,tqg,karol g,96,197933,album,17,True,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
2024-05-18,10,yandel 150,yandel,90,216148,album,17,True,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
2024-05-18,11,nochentera,vicco,81,202184,single,1,False,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
2024-05-18,12,todo contigo,álvaro de luna,78,165527,single,1,False,https://i.scdn.co/image/ab67616d0000b2737d45bffb03d186c1f4a47a83
2024-05-18,13,la bebe - remix,yng lvcas & peso pluma,99,234352,single,2,True,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
2024-05-18,14,niña bonita,feid & sean paul,88,187653,single,1,False,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
2024-05-18,15,playa del inglés,quevedo,84,237525,album,16,False,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
2024-05-18,16,rara vez,taiu & milo j,92,128677,single,1,False,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
2024-05-18,17,coco chanel,eladio carrion,92,208125,album,18,True,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
